1580	x	PORALL	Porphyrio alleni	Kurnuliejukana	Mindre sultanhöna	Allen's Gallinule
1590		FULATR	Fulica atra	Nokikana	Sothöna	Eurasian Coot
1610		GRUGRU	Grus grus	Kurki	Trana	Common Crane
1620	x	GRUCAN	Grus canadensis	Hietakurki	Prärietrana	Sandhill Crane  
1630	x	GRUVIR	Grus virgo	Neitokurki	Jungfrutrana	Demoiselle Crane
1650	x	TETRAX	Tetrax tetrax	Pikkutrappi	Småtrapp	Little Bustard
1660	x	CHLMAC	Chlamydotis macqueenii	Idänkaulustrappi	Kragtrapp	Macqueen's Bustard
1670	x	OTITAR	Otis tarda	Isotrappi	Stortrapp	Great Bustard
1680		Lahko	Charadriiformes	Rantalinnut		
1700	x	BUROED	Burhinus oedicnemus	Paksujalka	Tjockfot	Eurasian Stone-curlew
1720	x	HIMHIM	Himantopus himantopus	Pitkäjalka	Styltlöpare	Black-winged Stilt
1730	x	RECAVO	Recurvirostra avosetta	Avosetti	Skärfläcka	Pied Avocet
1750		HAEOST	Haematopus ostralegus	Meriharakka	Strandskata	Eurasian Oystercatcher
1770	x	PLUFUL	Pluvialis fulva	Siperiankurmitsa	Sibirisk tundrapipare	Pacific Golden Plover
1780	x	PLUDOM	Pluvialis dominica	Amerikankurmitsa	Amerikansk tundrapipare	American Golden Plover
1790		PLUAPR	Pluvialis apricaria	Kapustarinta	Ljungpipare	European Golden Plover
1800		PLUSQU	Pluvialis squatarola	Tundrakurmitsa	Kustpipare	Grey Plover
1810	x	VANGRE	Vanellus gregarius	Arohyyppä	Stäppvipa	Sociable Lapwing
1820	x	VANLEU	Vanellus leucurus	Suohyyppä	Sumpvipa	White-tailed Lapwing
1830		VANVAN	Vanellus vanellus	Töyhtöhyyppä	Tofsvipa	Northern Lapwing
1840		CHADUB	Charadrius dubius	Pikkutylli	Mindre strandpipare	Little Ringed Plover
1850		CHAHIA	Charadrius hiaticula	Tylli	Större strandpipare	Common Ringed Plover
1860	x	CHAALE	Charadrius alexandrinus	Mustajalkatylli	Svartbent strandpipare	Kentish Plover
1870	x	CHAMON	Charadrius mongolus	Ylänkötylli	Mongolpipare	Lesser Sand Plover
1880	x	CHALES	Charadrius leschenaultii	Aavikkotylli	Ökenpipare	Greater Sand Plover
1890	x	CHAASI	Charadrius asiaticus	Kaspiantylli	Kaspisk pipare	Caspian Plover
1900	x	CHAVER	Charadrius veredus	Gobintylli	Orientpipare	Oriental Plover
1910		CHAMOR	Charadrius morinellus	Keräkurmitsa	Fjällpipare	Eurasian Dotterel
1930	x	BARLON	Bartramia longicauda	Preeriakahlaaja	Piparsnäppa	Upland Sandpiper
1940	x	NUMMIN	Numenius minutus	Taigakuovi	Dvärgspov	Little Curlew
1950		NUMPHA	Numenius phaeopus	Pikkukuovi	Småspov	Whimbrel
1960		NUMARQ	Numenius arquata	Kuovi	Storspov	Eurasian Curlew
1970	x	LIMLIM	Limosa limosa	Mustapyrstökuiri	Rödspov	Black-tailed Godwit
1980		LIMLAP	Limosa lapponica	Punakuiri	Myrspov	Bar-tailed Godwit
1990		AREINT	Arenaria interpres	Karikukko	Roskarl	Ruddy Turnstone
2000		CALCAN	Calidris canutus	Isosirri	Kustsnäppa	Red Knot
2010		CALPUG	Calidris pugnax	Suokukko	Brushane	Ruff
2020	x	CALACU	Calidris acuminata	Suippopyrstösirri	Spetsstjärtad snäppa	Sharp-tailed Sandpiper
2030		CALFAL	Calidris falcinellus	Jänkäsirriäinen	Myrsnäppa	Broad-billed Sandpiper
2040		CALFER	Calidris ferruginea	Kuovisirri	Spovsnäppa	Curlew Sandpiper
2050	x	CALHIM	Calidris himantopus	Pitkäkoipisirri	Styltsnäppa	Stilt Sandpiper
2060	x	CALRCO	Calidris ruficollis	Rusokaulasirri	Rödhalsad snäppa	Red-necked Stint
2070	x	CALSMI	Calidris subminuta	Siperiansirri	Långtåsnäppa	Long-toed Stint
